,operation,label,count
495,http://edamontology.org/operation_3918,Genome analysis,8
496,http://edamontology.org/operation_0405,Protein hydrophobic region calculation,8
497,http://edamontology.org/operation_0256,Sequence feature comparison,23
498,http://edamontology.org/operation_0266,Vector sequence detection,6
499,http://edamontology.org/operation_0449,Sequence alignment analysis (site correlation),12
500,http://edamontology.org/operation_3965,Amplification detection,6
501,http://edamontology.org/operation_0566,Sequence cluster visualisation,8
502,http://edamontology.org/operation_3469,RNA structure covariance model generation,12
503,http://edamontology.org/operation_3964,Complex CNV detection,4
504,http://edamontology.org/operation_0556,Phylogenetic sub/super tree construction,8
505,http://edamontology.org/operation_2963,Codon usage bias plotting,3
506,http://edamontology.org/operation_0235,Sequence ambiguity calculation,4
507,http://edamontology.org/operation_3224,Gene set testing,44
508,http://edamontology.org/operation_0458,Nucleic acid melting curve plotting,5
509,http://edamontology.org/operation_1830,Free cysteine detection,5
510,http://edamontology.org/operation_3648,Validation of peptide-spectrum matches,17
511,http://edamontology.org/operation_2284,Nucleic acid density plotting,2
512,http://edamontology.org/operation_1829,Cysteine bridge detection,2
513,http://edamontology.org/operation_2574,Protein hydropathy calculation,13
514,http://edamontology.org/operation_0400,Protein pKa calculation,8
515,http://edamontology.org/operation_3437,Article comparison,1
516,http://edamontology.org/operation_0457,Nucleic acid stitch profile plotting,2
517,http://edamontology.org/operation_0288,Sequence word comparison,8
518,http://edamontology.org/operation_0460,Nucleic acid temperature profile plotting,6
519,http://edamontology.org/operation_0429,Quadruplex formation site detection,12
520,http://edamontology.org/operation_0402,Protein titration curve plotting,1
521,http://edamontology.org/operation_0439,Translation initiation site prediction,6
522,http://edamontology.org/operation_0391,Protein distance matrix calculation,1
523,http://edamontology.org/operation_2936,Dendrograph plotting,1
524,http://edamontology.org/operation_3703,Reference identification,4
525,http://edamontology.org/operation_0401,Protein hydropathy calculation (from sequence),1
526,http://edamontology.org/operation_1836,Residue bump detection,2
527,http://edamontology.org/operation_3447,Diffraction data reduction,3
528,http://edamontology.org/operation_0390,Protein peeling,4
529,http://edamontology.org/operation_2239,3D-1D scoring matrix generation,2
530,http://edamontology.org/operation_0380,Repeat sequence organisation analysis,9
531,http://edamontology.org/operation_3023,Prediction and recognition (protein),2
532,http://edamontology.org/operation_3024,Prediction and recognition (nucleic acid),1
533,http://edamontology.org/operation_0431,Restriction site recognition,10
534,http://edamontology.org/operation_0538,Phylogenetic inference (data centric),1
535,http://edamontology.org/operation_2514,Sequence generation (protein),2
536,http://edamontology.org/operation_0459,Nucleic acid probability profile plotting,1
537,http://edamontology.org/operation_2485,Helical wheel drawing,2
538,http://edamontology.org/operation_3640,18O labeling,2
539,http://edamontology.org/operation_0406,Protein aliphatic index calculation,1
540,http://edamontology.org/operation_2502,Protein analysis,2
541,http://edamontology.org/operation_0472,GPCR prediction,1
542,http://edamontology.org/operation_0437,SECIS element prediction,1
543,http://edamontology.org/operation_0485,Radiation Hybrid Mapping,1
544,http://edamontology.org/operation_3348,Sequence checksum generation,1
545,http://edamontology.org/operation_0456,Nucleic acid melting profile plotting,1
